Zendesk Tickets Comment Body,Zendesk Tickets Reason,Zendesk Tickets Summary
"



Hi,

Find my comments under your questions in Blue:



>  I was wondering if:
>
> - She gets this issue only when she try to access the dashboard from the url that she scheduled. *She is also getting the issue when she try to access the dashboard from her space for example. *The issue happens only on the first time she access the URL.
>
> So Basically she set a schedule to send the dashboards as reports, with all the right filters and so on. And when it comes to the schedule timing to automatically be triggered, (without Sophie accessing the dashboard) , the date filters change alone into a blank state that is not even possible to choose manually. And the whole thing doesn’t send (she receives an email telling her an error in scheduled report).
>
> - The issue is happening only in a specific browser (Could we try to open the dashboard url with other browser to check this?)
>
> - I don’t think it has to do with browser as it is the scheduled and automatic.

Hope that helps!



Thanks again and please note this happened twice so far and hasn’t reoccured since.



Best regards,



Faisal

> #",Why isn't it working?,
"



How it got there is it USED to be a field.  I used to select it when the Look only hit the ABC table.  But I changed the look to be able to hit ABC/DisneyNow/Freeform and ESPN is next.  So it was once a dimension that I selected.  Then it became a parameter.  That’s why this is sort of an edge case, but it is certainly a bug.",Bug,BUG?
"



On Thu, May 30, 2019 at 3:29 PM Srinu Adira <srinu@tigerconnect.com> wrote:

> Hi Looker Support,
>
>
> We just found an embed user with Steve Krouse name.
>
> Apparently, this user wasn’t added by our internal team.
>
> Can someone help understand as to what is the purpose of this user?
>
> Please let us know if you need more details.
>
>
>
> Thanks
> --





--

 ![](http://tigerconnect.com.hosted-content.com/v2/imagebucket/tigerconnect.com/TigerConnect_Full_Color.png)

 Srinu Adira
 VP, Business Intelligence
e: srinu@tigerconnect.com

www.tigerconnect.com

 ![](http://tigerconnect.com.hosted-content.com/v2/imagebucket/tigerconnect.com/Twitter.png) ![](http://tigerconnect.com.hosted-content.com/v2/imagebucket/tigerconnect.com/LinkedIn.png) ![](http://tigerconnect.com.hosted-content.com/v2/imagebucket/tigerconnect.com/Facebook.png) ![](http://tigerconnect.com.hosted-content.com/v2/imagebucket/tigerconnect.com/YouTube.png)
 Formerly TigerText",Why isn't it working?,
"



On Tue, Jun 25, 2019 at 1:34 PM Moon sun Hwang <moonsun.hwang@verizonmedia.com> wrote:

>",No Reason,
"



On Tue, Jun 25, 2019 at 1:49 PM Moon sun Hwang <moonsun.hwang@verizonmedia.com> wrote:

> On Tue, Jun 25, 2019 at 1:34 PM Moon sun Hwang <moonsun.hwang@verizonmedia.com> wrote:
>
> >",No Reason,
"



On Wed, May 29, 2019 at 2:56 AM Félix (Looker) <support@looker.com> wrote:

Felix,",Why isn't it working?,Really upset about the jar download changes.
"


* * *

**From:** Dave (Looker) <support@looker.zendesk.com>
**Sent:** 04 June 2019 17:56
**To:** Sajanikar, Yogesh
**Subject:** Chat with Yogesh Sajanikar


Yes, the instance and license key details are correct.

 ![](https://looker.zendesk.com/system/photos/3605/7507/2853/Dave_Hughes.png)

**Dave** (Looker)

Jun 4, 5:26 AM PDT

Hey Yogesh,

Thanks for letting me know I will request to have this feature turned on, on your instance.

Apologies I should have done this for you this morning.

Could you confirm the instance name and Last 4 digits in the licence key, please

The instance name : HP, Inc. (hpdaas)
Last 4 digits in the licence key: AC0B

-Dave

![Looker User Guide](https://looker.zendesk.com/attachments/token/Q6Stkta6el4UyzHSAz79UGXmb/?name=UserGuide.png)
Check out our new User Guide for educational content, training and resources!

 ![](https://secure.gravatar.com/avatar/d86550b2d6b45d884c459e99bd52aed8?size=40&default=https%3A%2F%2Fassets.zendesk.com%2Fimages%2F2016%2Fdefault-avatar-80.png&r=g)

**Yogesh Sajanikar**

Jun 4, 5:06 AM PDT

Dear Dave,



Actually, I have referred the document that you shared. The main issue is that this feature is not available in the instance that is shared with us.



Thanks,

~Yogesh



 ![](https://looker.zendesk.com/system/photos/3605/7507/2853/Dave_Hughes.png)

**Dave** (Looker)

Jun 3, 11:14 PM PDT

Hey Yogesh,

Just wanted to follow up after your chat on Friday. I have been able to reach out and get you an answer on your authentication question.

You will need to set up openid connect, This is a layer on top of oauth2.

Steps to implement are contained in this document.

https://docs.looker.com/admin-options/security/openid-connect

Have a super day

-Dave

![Looker User Guide](https://looker.zendesk.com/attachments/token/Q6Stkta6el4UyzHSAz79UGXmb/?name=UserGuide.png)
Check out our new User Guide for educational content, training and resources!

 ![](https://secure.gravatar.com/avatar/d86550b2d6b45d884c459e99bd52aed8?size=40&default=https%3A%2F%2Fassets.zendesk.com%2Fimages%2F2016%2Fdefault-avatar-80.png&r=g)

**Yogesh Sajanikar**

May 31, 7:43 AM PDT

Hello Dave,



We do not support Google OAuth and SAML. As a matter of POC we would like to integrate with our OAuth2 server because the production deployment demands such a integration. Our server is OpenID (OAuth2) compatible. Hope this helps.



~Yogesh



 ![](https://looker.zendesk.com/system/photos/3605/7507/2853/Dave_Hughes.png)

**Dave** (Looker)

May 31, 7:09 AM PDT

Hey Yogesh,

Just to clarify you have your own oauth2 server and need to configure this to connect with looker?

So you would not be using any of the following IdPs?

Types of IdPs Supported In Looker:

Looker currently supports 4 IdPs that are mutually exclusive; that is, you can only have one enabled at a time. The supported IdPs are:

-

Google OAuth (also known as Google Auth or Google OAuth)

-

SAML (Security Assertion Markup Language)

-

LDAP (Lightweight Directory Access Protocol)

-

OIDC (OpenID Connect aka OpenID OAuth)

-Dave

![Looker User Guide](https://looker.zendesk.com/attachments/token/Q6Stkta6el4UyzHSAz79UGXmb/?name=UserGuide.png)
Check out our new User Guide for educational content, training and resources!

 ![](https://secure.gravatar.com/avatar/d86550b2d6b45d884c459e99bd52aed8?size=40&default=https%3A%2F%2Fassets.zendesk.com%2Fimages%2F2016%2Fdefault-avatar-80.png&r=g)

**Yogesh Sajanikar**

May 31, 6:20 AM PDT

Hello Dave,



Please note that we have our own oauth2 server. Hence we need to configure oauth with our own servers and not google.



~Yogesh



 ![](https://looker.zendesk.com/system/photos/3605/7507/2853/Dave_Hughes.png)

**Dave** (Looker)

May 31, 5:52 AM PDT

Hey Yogesh,

I have just reviewed our chat and I believe now we don't need to enable this via the licence. There are steps an Admin on your instance will need to perform to get set up.

Here are the docs on the steps needed to enable Oauth and get set up.

> > https://docs.looker.com/admin-options/security/google-auth#enabling_authentication_with_google_oauth

Apologies for the miss communication, we do need to enable two other via the licence however google is not one of them.

Please let me know if you have any questions on the above document or steps.

You can hit reply here at any time to reopen this conversation if you are having any issues and I will do my best to get you sorted :-)

Have a super rest of Friday, Yogesh

Chat again soon

-Dave

![Looker User Guide](https://looker.zendesk.com/attachments/token/Q6Stkta6el4UyzHSAz79UGXmb/?name=UserGuide.png)
Check out our new User Guide for educational content, training and resources!

 ![](https://secure.gravatar.com/avatar/d86550b2d6b45d884c459e99bd52aed8?size=40&default=https%3A%2F%2Fassets.zendesk.com%2Fimages%2F2016%2Fdefault-avatar-80.png&r=g)

**Yogesh Sajanikar**

May 31, 5:14 AM PDT

Chat started: 2019-05-31 12:05 PM UTC

(12:05:04 PM) Yogesh Sajanikar: Hello
(12:05:17 PM) *** Dave joined the chat ***
(12:05:24 PM) Dave: Hey Yogesh
(12:05:33 PM) Dave: Hows it going today?
(12:05:42 PM) Yogesh Sajanikar: We received evaluation instance from you. And wondering if we can get oauth2 connect feature enabled in this instance.
(12:06:06 PM) Yogesh Sajanikar: Or should I be writing to sales team for enabling this feature for our POC.
(12:07:17 PM) Dave: Sure, It will need to be done through a different team but I can reach out and make sure you get this enabled on your instance.
(12:08:07 PM) Yogesh Sajanikar: Thanks a lot Dave! It will help us immensely as we are creating a POC on looker to evaluate dashboards.
(12:09:02 PM) Dave: Of course, Yogesh, could you tell me the name of the instance, please?
(12:09:12 PM) Yogesh Sajanikar: hpdaas.looker.com
(12:09:58 PM) Dave: Cool thanks so much, One last question do you know your cs manager? if not that's ok I can find this out.
(12:11:16 PM) Yogesh Sajanikar: I have been talking to Jeff Van Earwage
(12:12:04 PM) Yogesh Sajanikar: And Justin Bugajski
(12:12:26 PM) Yogesh Sajanikar: Not sure if that answers your question
(12:12:38 PM) Dave: Cool, Thanks Yogesh. I will reach out now and let them know, I will put in the request myself.
(12:12:51 PM) Yogesh Sajanikar: Great! Thanks.
(12:13:32 PM) Dave: Have a great day, I will reach out if I need any more information, chat soon :-)
(12:14:21 PM) Yogesh Sajanikar: Sure! Have a nice a day. Bye! See you soon.
(12:14:39 PM) *** Dave left the chat ***

[7OWMQ8-QY8R]",How do I,
"


14 Haz 2019 Cum 16:16 tarihinde Dave (Looker) <support@looker.com> şunu yazdı:



I'm not sure,but i believe it should be couple of months ago,we can say 2-3 months if you want me to be precise



Best",Why isn't it working?,
"


18 Haz 2019 Sal 13:59 tarihinde Dave (Looker) <support@looker.com> şunu yazdı:



Hi Dave,



I talked with David



Because of the inactivity our instance was closed



He said that they will create a new instance. I believe it should be created till now,but no information has been shared with us yet



Best



Ozan",Why isn't it working?,
"


Hi Both







When you get in touch with support can you get them to contact Laura – who will look into helping to solve this…







As mentioned I followed the looker instructions according to this doc: https://docs.looker.com/setup-and-management/database-config/snowflake







And the connection looks to be OK:



![](https://help.looker.com/attachments/token/RX7viPIYmJ7ZDamvf7hY4nZ40/?name=image001.png)







But on the main connections page we get:



![](https://help.looker.com/attachments/token/rzfHjTiedsnAuB3NpiTHE3Eyt/?name=image002.png)







And although it says I can run simple queries – this doesn’t work and it doesn’t recognize the Snowflake databases…



![](https://help.looker.com/attachments/token/deOOlYsgFp4dOTircRkJvg0Me/?name=image003.png)







I spent 20 mins with live chat – and unfortunately this didn’t get resolved







I guess I was hoping you guys were going to quickly troubleshoot this today – like a 10 min thing…







Anyhow – Laura can help from our side and once resolved we will rebook the session – hopefully next week







Best







Paul








--



Paul Butler



CTO Equity Research



GfK North America



T** **+44 207 890 9501 | M +44 7919 302465










**From:** Butler, Paul (GfK)
 **Sent:** 12 June 2019 08:54
 **To:**'Matt Cracknell' <mcracknell@looker.com>
 **Cc:** Gerard White <white@looker.com>
 **Subject:** RE: Session Tomorrow









Hi Matt







We are ready to host you guys this morning – look forward to it







The connection still doesn’t work properly. I spent 20 mins with someone on chat a week or so back – but got nowhere







I had to then go into another meeting…







So we don’t have a working connection yet







Best







Paul








--



Paul Butler



CTO Equity Research



GfK North America



T** **+44 207 890 9501 | M +44 7919 302465










**From:** Matt Cracknell <mcracknell@looker.com>
 **Sent:** 11 June 2019 19:05
 **To:** Butler, Paul (GfK) <Paul.Butler@gfk.com>
 **Cc:** Gerard White <white@looker.com>
 **Subject:** Session Tomorrow












  **WARNING:** This email originated outside of GfK.
  DO NOT CLICK links or attachments unless you recognize the sender and know the content is safe.














Hey Paul,











Just checking we are all set up for tomorrow AM?











Looks like a DB connection has been attempted, but isn't quite ready.











The chat team are online 24hrs a day to support with this, so give them a shout. We won't able to troubleshoot this in person tomorrow - so please work with the chat team.











If you think it's going to take a little longer to get this setup and running, let us know and we can rearrange our onsite.



































Best,











Matt











**Matt Cracknell | Enterprise Account Director** | mcracknell@looker.com | +44(0) 7590011845



![](https://lh4.googleusercontent.com/S7BE4tE3Pz48eLiKp0rmQ-oUugcqNmVUEY7D6K4GF4nEbkoicBi5XeHdPFHowgG6kykQlBMyJlPGPdt1mWXYNJqFxIZ1C6cIw3_n5jiUiGFa_qt9nG22L2nbirvdIf77vH1KueOV)




























![](https://compose.mixmax.com/img/blank.png)












--

--

**Gerard White** | Sales Engineer | Looker















     ![File](https://d1kj8zpr0wuyz7.cloudfront.net/44a85ad0f82401bf44d3e2d8d04c201494b3ce2d/img/icons/attachments/file.png)

   image001.png 18KB Download ![Logo](https://d1kj8zpr0wuyz7.cloudfront.net/44a85ad0f82401bf44d3e2d8d04c201494b3ce2d/img/download.png)












     ![File](https://d1kj8zpr0wuyz7.cloudfront.net/44a85ad0f82401bf44d3e2d8d04c201494b3ce2d/img/icons/attachments/file.png)

   image002.png 37KB Download ![Logo](https://d1kj8zpr0wuyz7.cloudfront.net/44a85ad0f82401bf44d3e2d8d04c201494b3ce2d/img/download.png)















     ![File](https://d1kj8zpr0wuyz7.cloudfront.net/44a85ad0f82401bf44d3e2d8d04c201494b3ce2d/img/icons/attachments/file.png)

   image003.png 40KB Download ![Logo](https://d1kj8zpr0wuyz7.cloudfront.net/44a85ad0f82401bf44d3e2d8d04c201494b3ce2d/img/download.png)



 ![](https://track.mixmax.com/api/track/v2/6lmWVKX3Xaf3bJVCD/i02bj5iclt2bvxGQlRXaodnI/ISbvNmLyV2av9GbARncvBHc1NnI/gI0J3bwBXdTBiclt2bvxkI?sc=false)",No Reason,
